longitude,latitude,acq_date,geometry,index_right,fid,DN
86.9593,27.1261,2019-01-01,POINT (86.9593 27.1261),226757,2262106.0,4
85.4011,27.059,2019-01-04,POINT (85.4011 27.059),234399,2311036.0,4
85.3983,27.1038,2019-03-22,POINT (85.3983 27.1038),234399,2311036.0,4
85.3982,27.1058,2019-03-24,POINT (85.3982 27.1058),234399,2311036.0,4
82.6581,28.3111,2019-01-04,POINT (82.6581 28.3111),115008,1439122.0,4
82.3021,28.3395,2019-05-10,POINT (82.3021 28.3395),115008,1439122.0,4
82.2971,28.3431,2019-05-10,POINT (82.2971 28.3431),115008,1439122.0,4
82.3116,28.3347,2019-05-10,POINT (82.3116 28.3347),115008,1439122.0,4
82.2979,28.33,2019-05-11,POINT (82.2979 28.33),115008,1439122.0,4
82.2996,28.319,2019-05-11,POINT (82.2996 28.319),115008,1439122.0,4
82.3161,28.322,2019-05-11,POINT (82.3161 28.322),115008,1439122.0,4
82.2984,28.3171,2019-05-11,POINT (82.2984 28.3171),115008,1439122.0,4
82.285,28.3252,2019-05-11,POINT (82.285 28.3252),115008,1439122.0,4
82.2819,28.3161,2019-05-12,POINT (82.2819 28.3161),115008,1439122.0,4
82.2802,28.3169,2019-05-12,POINT (82.2802 28.3169),115008,1439122.0,4
82.2668,28.3269,2019-05-13,POINT (82.2668 28.3269),115008,1439122.0,4
82.293,28.4095,2019-05-27,POINT (82.293 28.4095),115008,1439122.0,4
82.2955,28.2973,2019-06-15,POINT (82.2955 28.2973),115008,1439122.0,4
82.2978,28.3003,2019-06-15,POINT (82.2978 28.3003),115008,1439122.0,4
84.9472,27.3242,2019-01-06,POINT (84.9472 27.3242),240693,2351902.0,4
84.4668,27.5577,2019-01-10,POINT (84.4668 27.5577),240693,2351902.0,4
84.4563,27.556,2019-01-10,POINT (84.4563 27.556),240693,2351902.0,4
84.5258,27.5319,2019-01-13,POINT (84.5258 27.5319),240693,2351902.0,4
84.4465,27.5559,2019-01-20,POINT (84.4465 27.5559),240693,2351902.0,4
84.4225,27.5537,2019-01-20,POINT (84.4225 27.5537),240693,2351902.0,4
84.4761,27.5546,2019-01-22,POINT (84.4761 27.5546),240693,2351902.0,4
84.5021,27.5398,2019-01-31,POINT (84.5021 27.5398),240693,2351902.0,4
84.9744,27.2761,2019-02-04,POINT (84.9744 27.2761),240693,2351902.0,4
84.4596,27.5501,2019-02-05,POINT (84.4596 27.5501),240693,2351902.0,4
84.4851,27.5389,2019-02-05,POINT (84.4851 27.5389),240693,2351902.0,4
84.4838,27.5524,2019-02-05,POINT (84.4838 27.5524),240693,2351902.0,4
84.2221,27.5411,2019-02-05,POINT (84.2221 27.5411),240693,2351902.0,4
84.4764,27.5483,2019-02-05,POINT (84.4764 27.5483),240693,2351902.0,4
84.9801,27.1722,2019-02-10,POINT (84.9801 27.1722),240693,2351902.0,4
84.1488,27.555,2019-02-18,POINT (84.1488 27.555),240693,2351902.0,4
85.3045,27.3145,2019-02-18,POINT (85.3045 27.3145),240693,2351902.0,4
84.0486,27.5403,2019-02-18,POINT (84.0486 27.5403),240693,2351902.0,4
84.4762,27.5614,2019-02-20,POINT (84.4762 27.5614),240693,2351902.0,4
84.2386,27.5305,2019-02-22,POINT (84.2386 27.5305),240693,2351902.0,4
84.2329,27.5224,2019-02-22,POINT (84.2329 27.5224),240693,2351902.0,4
84.214,27.5188,2019-02-22,POINT (84.214 27.5188),240693,2351902.0,4
84.2211,27.5298,2019-02-23,POINT (84.2211 27.5298),240693,2351902.0,4
84.3928,27.5603,2019-02-23,POINT (84.3928 27.5603),240693,2351902.0,4
84.4012,27.5558,2019-02-23,POINT (84.4012 27.5558),240693,2351902.0,4
84.3866,27.5542,2019-02-23,POINT (84.3866 27.5542),240693,2351902.0,4
84.4214,27.5484,2019-02-25,POINT (84.4214 27.5484),240693,2351902.0,4
84.4993,27.5307,2019-02-25,POINT (84.4993 27.5307),240693,2351902.0,4
84.4109,27.547,2019-02-25,POINT (84.4109 27.547),240693,2351902.0,4
84.4722,27.5644,2019-02-25,POINT (84.4722 27.5644),240693,2351902.0,4
84.2209,27.5401,2019-02-25,POINT (84.2209 27.5401),240693,2351902.0,4
84.398,27.548,2019-03-01,POINT (84.398 27.548),240693,2351902.0,4
84.3831,27.5453,2019-03-01,POINT (84.3831 27.5453),240693,2351902.0,4
84.3992,27.552,2019-03-06,POINT (84.3992 27.552),240693,2351902.0,4
84.2133,27.522,2019-03-08,POINT (84.2133 27.522),240693,2351902.0,4
84.2087,27.5417,2019-03-08,POINT (84.2087 27.5417),240693,2351902.0,4
84.1983,27.5234,2019-03-09,POINT (84.1983 27.5234),240693,2351902.0,4
84.2224,27.5256,2019-03-09,POINT (84.2224 27.5256),240693,2351902.0,4
84.5191,27.5328,2019-03-11,POINT (84.5191 27.5328),240693,2351902.0,4
84.5042,27.5312,2019-03-11,POINT (84.5042 27.5312),240693,2351902.0,4
85.7427,27.3461,2019-03-13,POINT (85.7427 27.3461),240693,2351902.0,4
85.6999,27.4039,2019-03-13,POINT (85.6999 27.4039),240693,2351902.0,4
84.7652,27.3426,2019-03-13,POINT (84.7652 27.3426),240693,2351902.0,4
85.215,27.5207,2019-03-13,POINT (85.215 27.5207),240693,2351902.0,4
85.1606,27.5204,2019-03-13,POINT (85.1606 27.5204),240693,2351902.0,4
84.4567,27.5302,2019-03-13,POINT (84.4567 27.5302),240693,2351902.0,4
84.4537,27.5484,2019-03-13,POINT (84.4537 27.5484),240693,2351902.0,4
84.4432,27.547,2019-03-13,POINT (84.4432 27.547),240693,2351902.0,4
84.1375,27.5339,2019-03-13,POINT (84.1375 27.5339),240693,2351902.0,4
84.1154,27.5402,2019-03-13,POINT (84.1154 27.5402),240693,2351902.0,4
84.1052,27.5388,2019-03-13,POINT (84.1052 27.5388),240693,2351902.0,4
85.9516,27.3442,2019-03-16,POINT (85.9516 27.3442),240693,2351902.0,4
84.9862,27.2658,2019-03-16,POINT (84.9862 27.2658),240693,2351902.0,4
84.8601,27.227,2019-03-18,POINT (84.8601 27.227),240693,2351902.0,4
84.8742,27.2313,2019-03-18,POINT (84.8742 27.2313),240693,2351902.0,4
85.2926,27.1293,2019-03-20,POINT (85.2926 27.1293),240693,2351902.0,4
85.2712,27.1449,2019-03-20,POINT (85.2712 27.1449),240693,2351902.0,4
84.9584,27.2518,2019-03-20,POINT (84.9584 27.2518),240693,2351902.0,4
84.9458,27.2503,2019-03-20,POINT (84.9458 27.2503),240693,2351902.0,4
84.9332,27.2488,2019-03-20,POINT (84.9332 27.2488),240693,2351902.0,4
84.9568,27.2618,2019-03-20,POINT (84.9568 27.2618),240693,2351902.0,4
84.9442,27.2603,2019-03-20,POINT (84.9442 27.2603),240693,2351902.0,4
84.7323,27.2346,2019-03-20,POINT (84.7323 27.2346),240693,2351902.0,4
84.9414,27.3202,2019-03-20,POINT (84.9414 27.3202),240693,2351902.0,4
84.9529,27.2711,2019-03-21,POINT (84.9529 27.2711),240693,2351902.0,4
85.2619,27.1935,2019-03-21,POINT (85.2619 27.1935),240693,2351902.0,4
84.5005,27.7636,2019-03-21,POINT (84.5005 27.7636),240693,2351902.0,4
84.8896,27.2639,2019-03-21,POINT (84.8896 27.2639),240693,2351902.0,4
84.8777,27.262,2019-03-21,POINT (84.8777 27.262),240693,2351902.0,4
84.8659,27.26,2019-03-21,POINT (84.8659 27.26),240693,2351902.0,4
84.9436,27.2829,2019-03-22,POINT (84.9436 27.2829),240693,2351902.0,4
84.9044,27.2898,2019-03-22,POINT (84.9044 27.2898),240693,2351902.0,4
85.3245,27.112,2019-03-22,POINT (85.3245 27.112),240693,2351902.0,4
86.0904,27.0508,2019-03-22,POINT (86.0904 27.0508),240693,2351902.0,4
85.3176,27.0927,2019-03-22,POINT (85.3176 27.0927),240693,2351902.0,4
85.3075,27.0913,2019-03-22,POINT (85.3075 27.0913),240693,2351902.0,4
85.3145,27.1106,2019-03-22,POINT (85.3145 27.1106),240693,2351902.0,4
85.3129,27.1468,2019-03-22,POINT (85.3129 27.1468),240693,2351902.0,4
85.3182,27.175,2019-03-22,POINT (85.3182 27.175),240693,2351902.0,4
85.3082,27.1736,2019-03-22,POINT (85.3082 27.1736),240693,2351902.0,4
85.2679,27.1681,2019-03-22,POINT (85.2679 27.1681),240693,2351902.0,4
85.2578,27.1667,2019-03-22,POINT (85.2578 27.1667),240693,2351902.0,4
85.2663,27.177,2019-03-22,POINT (85.2663 27.177),240693,2351902.0,4
84.956,27.2081,2019-03-22,POINT (84.956 27.2081),240693,2351902.0,4
84.8066,27.2418,2019-03-22,POINT (84.8066 27.2418),240693,2351902.0,4
84.8949,27.2635,2019-03-22,POINT (84.8949 27.2635),240693,2351902.0,4
84.825,27.2536,2019-03-22,POINT (84.825 27.2536),240693,2351902.0,4
84.815,27.2521,2019-03-22,POINT (84.815 27.2521),240693,2351902.0,4
84.9478,27.2801,2019-03-22,POINT (84.9478 27.2801),240693,2351902.0,4
84.8079,27.2604,2019-03-22,POINT (84.8079 27.2604),240693,2351902.0,4
84.798,27.259,2019-03-22,POINT (84.798 27.259),240693,2351902.0,4
84.788,27.2576,2019-03-22,POINT (84.788 27.2576),240693,2351902.0,4
84.9462,27.289,2019-03-22,POINT (84.9462 27.289),240693,2351902.0,4
84.8063,27.2693,2019-03-22,POINT (84.8063 27.2693),240693,2351902.0,4
84.7963,27.2679,2019-03-22,POINT (84.7963 27.2679),240693,2351902.0,4
84.9046,27.2923,2019-03-22,POINT (84.9046 27.2923),240693,2351902.0,4
84.903,27.3012,2019-03-22,POINT (84.903 27.3012),240693,2351902.0,4
84.893,27.2998,2019-03-22,POINT (84.893 27.2998),240693,2351902.0,4
84.6301,27.3819,2019-03-23,POINT (84.6301 27.3819),240693,2351902.0,4
84.6402,27.3804,2019-03-23,POINT (84.6402 27.3804),240693,2351902.0,4
84.9094,27.3111,2019-03-23,POINT (84.9094 27.3111),240693,2351902.0,4
84.8132,27.28,2019-03-23,POINT (84.8132 27.28),240693,2351902.0,4
84.8014,27.2726,2019-03-23,POINT (84.8014 27.2726),240693,2351902.0,4
84.8217,27.2695,2019-03-23,POINT (84.8217 27.2695),240693,2351902.0,4
84.8319,27.2679,2019-03-23,POINT (84.8319 27.2679),240693,2351902.0,4
84.8404,27.2573,2019-03-23,POINT (84.8404 27.2573),240693,2351902.0,4
85.284,27.1881,2019-03-23,POINT (85.284 27.1881),240693,2351902.0,4
85.635,27.3076,2019-03-23,POINT (85.635 27.3076),240693,2351902.0,4
84.5185,27.759,2019-03-23,POINT (84.5185 27.759),240693,2351902.0,4
85.3135,27.1176,2019-03-23,POINT (85.3135 27.1176),240693,2351902.0,4
84.9631,27.1825,2019-03-23,POINT (84.9631 27.1825),240693,2351902.0,4
84.8524,27.2787,2019-03-24,POINT (84.8524 27.2787),240693,2351902.0,4
84.859,27.2782,2019-03-24,POINT (84.859 27.2782),240693,2351902.0,4
86.3617,27.0095,2019-03-24,POINT (86.3617 27.0095),240693,2351902.0,4
86.2004,27.0389,2019-03-24,POINT (86.2004 27.0389),240693,2351902.0,4
85.3033,27.1195,2019-03-24,POINT (85.3033 27.1195),240693,2351902.0,4
85.262,27.1517,2019-03-24,POINT (85.262 27.1517),240693,2351902.0,4
