longitude,latitude,acq_date
87.5973,26.454,2019-01-01
85.9213,26.8516,2019-01-01
86.9593,27.1261,2019-01-01
86.9475,27.1246,2019-01-01
81.242,28.4002,2019-01-01
80.7686,29.8021,2019-01-01
88.0527,26.5082,2019-01-03
87.5964,26.5719,2019-01-03
85.4065,27.0568,2019-01-04
85.4289,27.0612,2019-01-04
85.4011,27.059,2019-01-04
82.6581,28.3111,2019-01-04
82.4684,28.8812,2019-01-04
81.2081,29.6639,2019-01-04
80.159,28.8004,2019-01-05
85.8311,26.7809,2019-01-05
84.5456,27.6111,2019-01-05
84.8985,28.3267,2019-01-05
80.1664,28.8073,2019-01-05
80.1319,28.7995,2019-01-05
80.1595,28.8167,2019-01-05
80.1251,28.8087,2019-01-05
84.9472,27.3242,2019-01-06
84.8096,28.1451,2019-01-08
84.3496,28.0939,2019-01-08
84.4286,28.3417,2019-01-08
83.0893,28.3248,2019-01-08
80.4039,28.7302,2019-01-08
87.0385,26.6669,2019-01-09
87.0538,26.6642,2019-01-09
87.0055,26.7168,2019-01-09
87.0014,26.7113,2019-01-09
87.0074,26.714,2019-01-10
87.0015,26.7142,2019-01-10
86.9841,26.6821,2019-01-10
87.046,26.6545,2019-01-10
86.9941,26.6835,2019-01-10
87.008,26.7222,2019-01-10
86.9979,26.7208,2019-01-10
84.4668,27.5577,2019-01-10
84.4563,27.556,2019-01-10
86.9535,26.6071,2019-01-11
86.945,26.6089,2019-01-11
86.4879,27.6607,2019-01-12
84.7786,27.524,2019-01-12
87.4279,27.453,2019-01-13
85.1894,27.1293,2019-01-13
84.5258,27.5319,2019-01-13
84.5245,27.5439,2019-01-13
80.4458,28.6129,2019-01-14
80.4572,28.6111,2019-01-14
86.9996,26.7255,2019-01-15
86.983,26.7238,2019-01-15
85.653,26.9861,2019-01-15
85.6393,26.9845,2019-01-15
84.2506,28.325,2019-01-15
87.4665,26.4785,2019-01-17
87.6409,26.6541,2019-01-17
80.1609,28.7708,2019-01-17
82.8589,27.6303,2019-01-18
80.1465,28.8272,2019-01-19
87.7045,27.1801,2019-01-19
84.0329,28.1616,2019-01-19
81.9454,29.9488,2019-01-19
81.9607,29.9481,2019-01-20
81.3162,29.6847,2019-01-20
83.2619,27.4827,2019-01-20
84.4465,27.5559,2019-01-20
84.4225,27.5537,2019-01-20
83.2675,27.4805,2019-01-20
83.2817,27.4846,2019-01-20
80.4635,28.8825,2019-01-20
87.6796,26.6091,2019-01-21
87.6674,26.6071,2019-01-21
84.4761,27.5546,2019-01-22
86.9882,26.6392,2019-01-24
85.9377,27.0512,2019-01-24
83.1396,27.6722,2019-01-24
87.7394,27.2054,2019-01-28
87.7291,27.2039,2019-01-28
87.004,26.6572,2019-01-29
86.9765,26.6548,2019-01-29
84.3418,27.5571,2019-01-29
80.1661,28.8124,2019-01-30
80.1771,28.8106,2019-01-30
80.3364,28.6632,2019-01-30
80.3476,28.6613,2019-01-30
84.7879,27.5224,2019-01-30
84.7921,27.5256,2019-01-30
